customer_id,customer_name,total_orders,total_items,total_spent,average_order_value,first_order_date,latest_order_date
CUST003013,Chaitanya Krishnamurthy,13,114,4596137.20,353549.02,2024-02-12,2026-02-10
CUST002559,Amrita Bhavsar,14,117,4591725.22,327980.37,2024-03-09,2026-05-22
CUST003346,Rushil Bhattacharyya,16,136,4588754.49,286797.16,2024-01-20,2026-03-04
CUST004432,Udant Sarkar,16,127,4585421.81,286588.86,2024-02-10,2026-05-02
CUST001584,Ekbal Sheth,14,119,4584562.16,327468.73,2024-06-19,2026-07-03
CUST002461,William Kuruvilla,14,112,4583191.02,327370.79,2024-01-05,2026-07-14
CUST004451,Jairaj Murthy,17,128,4581633.50,269507.85,2024-01-10,2026-06-19
CUST002877,Tanmayi Dewan,17,135,4580902.34,269464.84,2024-01-01,2026-07-21
CUST004775,Janani Madan,15,127,4577563.36,305170.89,2024-03-02,2026-06-09
CUST000836,Sneha Patel,13,111,4576807.80,352062.14,2024-02-15,2026-04-19
CUST004251,Warda Pathak,17,134,4572434.33,268966.73,2024-01-13,2026-07-21
CUST002799,Zashil Manda,16,123,4570102.82,285631.43,2024-01-06,2026-05-15
CUST000273,Ria Dhar,12,126,4555128.12,379594.01,2024-04-14,2026-07-09
CUST004689,Wridesh Banik,17,127,4554907.44,267935.73,2024-01-18,2026-05-04
CUST004603,Harsh Nath,11,118,4551210.72,413746.43,2024-03-19,2026-06-29
CUST002351,Vaishnavi Rai,16,115,4549448.02,284340.5,2024-03-01,2026-04-20
CUST003561,Tanish Gandhi,14,123,4548695.71,324906.84,2024-04-22,2026-06-30
CUST000525,Udant Nagy,13,136,4546052.43,349696.34,2024-06-08,2026-07-21
CUST002448,Yuvraj Narayan,12,127,4539345.22,378278.77,2024-02-16,2026-04-12
CUST003430,Zaitra Oommen,14,117,4538231.12,324159.37,2024-04-17,2026-06-21
CUST004329,Bachittar Behl,17,140,4537037.66,266884.57,2024-01-06,2026-04-05
CUST002225,Varsha Pai,18,137,4532663.33,251814.63,2024-02-16,2026-06-26
CUST003733,Finn Nanda,15,120,4528827.26,301921.82,2024-01-07,2026-02-23
CUST004400,Nicholas Chahal,13,117,4521253.97,347788.77,2024-04-07,2026-07-02
CUST001539,Isha Nori,15,115,4519524.52,301301.63,2024-04-06,2026-05-08
CUST002749,Nitara Tailor,14,119,4516490.27,322606.45,2024-02-06,2026-05-18
CUST003175,Charvi Bhatnagar,17,139,4515836.67,265637.45,2024-03-20,2026-07-14
CUST002145,Qabil Sani,17,144,4515702.01,265629.53,2024-02-12,2026-07-21
CUST002775,Ojas Konda,13,115,4513930.40,347225.42,2024-04-27,2026-06-27
CUST001154,Aadhya Venkatesh,17,113,4509238.32,265249.31,2024-01-05,2026-07-21
CUST002319,Warinder Tara,12,112,4497245.87,374770.49,2024-01-08,2026-07-16
CUST000256,Ikshita Pillay,13,129,4491207.53,345477.5,2024-03-02,2026-05-22
CUST002474,Bishakha Mitra,13,130,4483450.57,344880.81,2024-03-07,2026-06-27
CUST001157,Sachi Agate,16,133,4481646.17,280102.89,2024-04-10,2026-05-03
CUST002772,Chameli Kannan,16,121,4478637.90,279914.87,2024-01-18,2026-06-02
CUST004182,Aahana Khalsa,14,124,4475989.70,319713.55,2024-01-12,2026-05-19
CUST001247,Chaitaly Sathe,19,135,4473975.54,235472.4,2024-01-23,2026-06-18
CUST004366,Caleb Bhagat,14,106,4472157.08,319439.79,2024-04-11,2026-02-17
CUST004698,Vedhika Nagarajan,14,123,4470164.10,319297.44,2024-05-24,2025-12-24
CUST003289,Zehaan Chada,12,125,4466737.85,372228.15,2024-05-30,2026-06-30
CUST002813,Meghana Pingle,15,127,4465732.88,297715.53,2024-05-12,2026-07-11
CUST003936,Maanas Deol,11,116,4462382.16,405671.11,2024-02-26,2026-07-19
CUST004005,Balvan Pillay,14,131,4460416.54,318601.18,2024-01-07,2026-06-06
CUST002418,Manan Krishnamurthy,17,116,4459796.38,262340.96,2024-01-15,2026-07-19
CUST001075,Nakul Murthy,14,112,4457666.60,318404.76,2024-01-15,2026-07-21
CUST004143,Fitan Sura,14,133,4454706.84,318193.35,2024-04-09,2026-07-07
CUST000521,Chandani Garde,15,139,4451679.99,296778.67,2024-01-21,2025-10-31
CUST003626,Owen Ahluwalia,15,118,4448953.51,296596.9,2024-05-20,2026-06-04
CUST001823,Isha Roy,12,116,4446398.68,370533.22,2024-01-27,2026-05-11
CUST003338,Yoshita Gara,13,116,4441024.42,341617.26,2024-01-11,2026-01-10
CUST003169,Ekantika Ghose,19,123,4434945.00,233418.16,2024-04-16,2026-07-06
CUST004137,Inaya Chad,12,112,4433277.62,369439.8,2024-05-17,2026-06-23
CUST002746,Harinakshi Sarin,14,112,4432730.02,316623.57,2024-02-17,2026-03-02
CUST004367,Gaurangi Acharya,14,134,4429390.86,316385.06,2024-01-31,2026-07-13
CUST004526,Anamika Gole,13,120,4422292.96,340176.38,2024-02-27,2026-06-03
CUST001305,Balendra Morar,18,153,4414487.83,245249.32,2024-01-06,2026-06-20
CUST000023,Ekbal Rout,16,122,4413907.71,275869.23,2024-03-12,2026-07-21
CUST001962,Ayushman Balasubramanian,10,103,4412394.18,441239.42,2024-01-29,2026-05-03
CUST001715,Ayush Pal,14,122,4412112.46,315150.89,2024-02-01,2026-03-22
CUST002373,Shivani Soman,16,122,4411669.50,275729.34,2024-05-10,2026-07-21
CUST004982,Veer Gara,10,101,4411456.28,441145.63,2024-03-04,2026-07-21
CUST000420,Mitali Kadakia,12,124,4408619.33,367384.94,2024-01-04,2026-06-02
CUST003315,Fiyaz Aggarwal,17,128,4408584.45,259328.5,2024-01-18,2026-07-04
CUST000817,Mitali Bath,16,137,4406006.05,275375.38,2024-03-03,2026-05-14
CUST004851,Chasmum Sachdeva,15,140,4404547.16,293636.48,2024-03-04,2026-07-21
CUST003823,Anika Varughese,13,99,4401495.69,338576.59,2024-01-18,2026-05-11
CUST002668,Laban Gole,13,99,4401470.31,338574.64,2024-03-24,2026-02-27
CUST001591,Sachi Gandhi,15,115,4398030.23,293202.02,2024-02-13,2026-07-01
CUST002672,Jeet Panchal,12,107,4395877.04,366323.09,2024-03-13,2026-07-18
CUST003020,Krishna Randhawa,15,120,4394247.23,292949.82,2024-03-08,2026-07-01
CUST003719,Brijesh Lalla,17,109,4391174.29,258304.37,2024-04-16,2026-07-21
CUST001858,Nimrat Oak,16,110,4389182.46,274323.9,2024-04-16,2026-07-21
CUST004063,Faraj Nori,13,119,4388561.09,337581.62,2024-02-08,2026-06-14
CUST001468,Lipika Krishna,13,141,4386973.81,337459.52,2024-01-14,2026-04-19
CUST003124,Farhan Mohanty,18,134,4381900.06,243438.89,2024-01-21,2026-04-10
CUST002093,Bhavika Kara,15,126,4381754.21,292116.95,2024-05-14,2026-06-29
CUST000814,Jeet Krishnamurthy,18,130,4376963.95,243164.66,2024-01-10,2026-06-20
CUST000150,Adya Sinha,16,119,4376496.61,273531.04,2024-01-30,2026-01-22
CUST002869,Lopa Date,14,116,4375486.66,312534.76,2024-03-27,2026-05-16
CUST000190,Ekbal Tiwari,12,123,4372714.91,364392.91,2024-02-02,2026-06-19
CUST000090,Ridhi Atwal,11,106,4371623.31,397420.3,2024-01-01,2025-08-03
CUST004064,Parth Gole,17,113,4370617.96,257095.17,2024-02-16,2026-05-09
CUST000805,Pranav Nayar,16,124,4366827.32,272926.71,2024-03-19,2026-07-14
CUST001855,Leena Ramaswamy,14,118,4364417.86,311744.13,2024-03-12,2026-07-09
CUST003369,Charita Khalsa,13,102,4361152.39,335473.26,2024-01-11,2026-05-19
CUST000746,Aditya Badami,16,113,4359704.50,272481.53,2024-01-14,2026-07-16
CUST004675,Odika Parmer,13,114,4358988.11,335306.78,2024-01-01,2026-07-08
CUST000139,Rachana Muni,14,104,4358526.66,311323.33,2024-01-18,2026-07-17
CUST001324,Aadhya Parmar,14,113,4357377.71,311241.27,2024-04-30,2026-01-28
CUST002750,Agastya Sinha,14,118,4355396.70,311099.76,2024-01-13,2026-07-12
CUST000321,Agastya Date,13,128,4354915.74,334993.52,2024-02-22,2026-03-25
CUST000388,Zaitra Mann,12,115,4354551.80,362879.32,2024-01-01,2025-12-08
CUST004337,Daksh Mukherjee,13,113,4354208.03,334939.08,2024-03-09,2026-05-29
CUST000089,Indali Tella,13,116,4352878.66,334836.82,2024-02-21,2026-07-16
CUST004705,Viraj Mall,19,134,4351199.46,229010.5,2024-05-16,2026-05-05
CUST004796,Joshua Shah,16,116,4350967.19,271935.45,2024-02-14,2026-07-04
CUST002407,Om Vasa,14,110,4345224.22,310373.16,2024-01-08,2026-07-21
CUST000100,Yagnesh Bassi,16,118,4344923.53,271557.72,2024-01-18,2026-07-21
CUST001771,Bhavika Hora,14,128,4343533.32,310252.38,2024-02-26,2026-05-28
CUST004720,Omisha Sarma,14,130,4342341.24,310167.23,2024-03-05,2026-05-17
CUST004975,Quincy Mane,14,110,4341845.18,310131.8,2024-03-09,2026-04-04
CUST001264,Brijesh Bassi,14,129,4341416.13,310101.15,2024-01-01,2026-07-08
CUST000263,Chaitaly Mannan,16,133,4340680.36,271292.52,2024-07-27,2026-03-31
CUST003081,Indira Sankar,13,111,4340591.09,333891.62,2024-03-09,2026-03-10
CUST003938,Dalbir Savant,14,129,4340470.56,310033.61,2024-08-31,2026-04-05
CUST001650,Naveen Thaman,16,119,4340368.59,271273.04,2024-02-04,2026-07-21
CUST003223,Quincy Oak,12,111,4337166.70,361430.56,2024-01-08,2026-05-08
CUST004786,Yashica Saran,14,116,4334095.83,309578.27,2024-04-19,2026-07-13
CUST000645,Xalak Palla,16,128,4330902.65,270681.42,2024-03-30,2026-07-21
CUST004773,Oscar Gala,13,113,4330790.62,333137.74,2024-05-20,2026-02-17
CUST000216,Nikita Ahuja,15,98,4329474.21,288631.61,2024-02-11,2026-06-15
CUST001126,Krisha Gole,15,124,4328909.00,288593.93,2024-02-24,2026-06-18
CUST002170,Avi Chhabra,16,136,4328633.98,270539.62,2024-03-31,2026-06-29
CUST001633,Bhavini Roy,15,110,4328283.21,288552.21,2024-03-31,2026-07-14
CUST004161,Warinder Mand,11,108,4327661.39,393423.76,2024-02-18,2026-07-16
CUST002494,Vritti Dyal,13,131,4327378.65,332875.28,2024-06-18,2026-06-27
CUST001430,Rachit Rau,18,128,4327110.37,240395.02,2024-01-24,2026-06-26
CUST003172,Nilima Sachdeva,15,120,4320296.86,288019.79,2024-01-09,2026-07-21
CUST003756,Adweta Ghosh,21,132,4320247.59,205726.08,2024-02-14,2026-06-03
